stop_id,stop_name
597,Chicago & Mies Van Der Rohe
599,Chicago & Michigan
601,Chicago & State (Red Line)
606,Chicago & Franklin (Brown line)
609,Chicago & Hudson
611,Chicago & Larrabee
612,700 W Chicago
613,Chicago & Halsted
615,Chicago & Sangamon
617,Chicago & Milwaukee (Blue Line)
618,Chicago & Racine
620,Chicago & Noble
621,Chicago & Greenview
622,Chicago & Ashland
623,Chicago & Paulina
625,Chicago & Wolcott
629,Chicago & Oakley
631,Chicago & Campbell
633,Chicago & Washtenaw
636,Chicago & Grand
638,Chicago & Sacramento
641,Chicago & Spaulding
643,Chicago & St. Louis
644,Chicago & Central Park
647,Chicago & Springfield
648,Chicago & Pulaski
649,Chicago & Karlov
650,Chicago & Keeler
651,Chicago & Kildare
653,Chicago & Kilbourn
654,Chicago & Kilpatrick
656,Chicago & Lamon
658,Chicago & Leclaire
660,Chicago & Lockwood
662,Chicago & Pine
663,Chicago & Central
665,Chicago & Waller
667,Chicago & Mayfield
668,Grand & Nordica Terminal
669,Grand & Sayre
670,Grand & Newland
671,Grand & Newcastle
672,Grand & Oak Park
677,Grand & Mobile
680,Grand & Austin
681,Grand & Marmora
683,Grand & Major
685,5500 W Grand
686,Grand & Long
688,Grand & Latrobe
689,Grand & Laramie
690,Grand & Leclaire/Armitage
691,Grand & Lamon
692,Grand & Cicero
693,Grand & Kilpatrick
694,Grand & Kenton
695,Grand & Kilbourn
696,Grand & Kostner
698,Grand & Kildare
700,Grand & Karlov
702,Grand & Springfield
703,Grand & Hamlin
704,Grand & Lawndale
708,Grand & Thomas
714,Grand & Sacramento Blvd.
716,Grand & California
717,Grand & Washtenaw
718,Grand & Talman
719,Grand & Rockwell
720,Grand & Campbell
721,Grand & Western
722,Grand & Oakley
723,Grand & Leavitt
724,Grand & Hoyne
725,Grand & Damen
726,Grand & Wolcott
727,Grand & Wood
728,Grand & Paulina
729,Grand & Ashland
730,Grand & Armour
731,Grand & Noble
735,Grand & Aberdeen
736,Grand & Morgan
737,Grand & Peoria
738,Grand & Halsted/Milwaukee (Blue Line)
739,Grand & Union
741,530 W Grand
742,Grand & Kingsbury
744,Grand & Franklin
747,Illinois & Clark
751,Illinois (Lower) & Michigan
754,Illinois & McClurg
755,Illinois & Peshtigo
756,Illinois & Lake Shore
758,Navy Pier Terminal
759,Grand & Streeter
760,Grand & Peshtigo
761,Grand & St. Clair
764,Grand & State (Red Line)
765,Grand & Dearborn
766,Grand & Clark
769,Grand & Franklin
771,Grand & Kingsbury
772,530 W Grand
776,Grand & Peoria
778,Grand & Aberdeen
780,Grand & Racine
781,Grand & Ogden
782,Grand & Noble
783,Grand & Armour
